=== Energy Consumption Metrics ===

Total Duration: 16510.77 seconds
Average CPU Power: 0.70 Watts
Average RAM Power: 3.17 Watts
Average GPU Power: 54.20 Watts
Total Energy Consumption: 0.9587 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.50W (CPU: 4.05W, RAM: 1.96W, GPU: 18.49W)
Round 10, node_2_smpc_complete: 23.34W (CPU: 0.09W, RAM: 3.08W, GPU: 20.16W)
Round 10, node_3_training_start: 22.94W (CPU: 0.00W, RAM: 3.08W, GPU: 19.86W)
Round 10, node_3_training_complete: 113.98W (CPU: 1.89W, RAM: 3.15W, GPU: 108.94W)
Round 10, node_3_smpc_start: 112.09W (CPU: 0.00W, RAM: 3.15W, GPU: 108.94W)
Round 10, node_3_smpc_complete: 22.53W (CPU: 0.09W, RAM: 3.09W, GPU: 19.35W)
Round 10, aggregation_start: 22.79W (CPU: 0.00W, RAM: 3.09W, GPU: 19.70W)
Round 10, aggregation_complete: 27.77W (CPU: 1.47W, RAM: 3.09W, GPU: 23.21W)
Round 11, cluster_generation_start: 22.69W (CPU: 0.03W, RAM: 3.09W, GPU: 19.58W)
Round 11, cluster_generation_complete: 22.66W (CPU: 0.00W, RAM: 3.09W, GPU: 19.58W)
Round 11, node_1_training_start: 22.66W (CPU: 0.00W, RAM: 3.09W, GPU: 19.58W)
Round 11, node_1_training_complete: 120.91W (CPU: 1.98W, RAM: 3.14W, GPU: 115.78W)
Round 11, node_1_smpc_start: 118.93W (CPU: 0.00W, RAM: 3.14W, GPU: 115.78W)
Round 11, node_1_smpc_complete: 23.08W (CPU: 0.09W, RAM: 3.14W, GPU: 19.85W)
Round 11, node_2_training_start: 22.72W (CPU: 0.00W, RAM: 3.14W, GPU: 19.58W)
Round 11, node_2_training_complete: 113.46W (CPU: 1.98W, RAM: 3.16W, GPU: 108.32W)
Round 11, node_2_smpc_start: 111.48W (CPU: 0.00W, RAM: 3.16W, GPU: 108.32W)
Round 11, node_2_smpc_complete: 23.17W (CPU: 0.09W, RAM: 3.11W, GPU: 19.97W)
Round 11, node_3_training_start: 22.83W (CPU: 0.00W, RAM: 3.11W, GPU: 19.71W)
Round 11, node_3_training_complete: 126.49W (CPU: 1.89W, RAM: 3.10W, GPU: 121.50W)
Round 11, node_3_smpc_start: 134.59W (CPU: 9.99W, RAM: 3.10W, GPU: 121.50W)
Round 11, node_3_smpc_complete: 23.18W (CPU: 0.09W, RAM: 3.09W, GPU: 20.00W)
Round 11, aggregation_start: 23.28W (CPU: 0.00W, RAM: 3.09W, GPU: 20.19W)
Round 11, aggregation_complete: 27.70W (CPU: 1.47W, RAM: 3.09W, GPU: 23.14W)
Round 12, cluster_generation_start: 23.64W (CPU: 0.03W, RAM: 3.09W, GPU: 20.52W)
Round 12, cluster_generation_complete: 33.60W (CPU: 9.99W, RAM: 3.09W, GPU: 20.52W)
Round 12, node_1_training_start: 23.61W (CPU: 0.00W, RAM: 3.09W, GPU: 20.52W)
Round 12, node_1_training_complete: 100.76W (CPU: 1.86W, RAM: 3.12W, GPU: 95.78W)
Round 12, node_1_smpc_start: 98.90W (CPU: 0.00W, RAM: 3.12W, GPU: 95.78W)
Round 12, node_1_smpc_complete: 23.34W (CPU: 0.09W, RAM: 3.10W, GPU: 20.16W)
Round 12, node_2_training_start: 23.18W (CPU: 0.00W, RAM: 3.10W, GPU: 20.08W)
Round 12, node_2_training_complete: 114.30W (CPU: 1.98W, RAM: 3.13W, GPU: 109.19W)
Round 12, node_2_smpc_start: 112.32W (CPU: 0.00W, RAM: 3.13W, GPU: 109.19W)
Round 12, node_2_smpc_complete: 23.31W (CPU: 0.09W, RAM: 3.10W, GPU: 20.13W)
Round 12, node_3_training_start: 22.87W (CPU: 0.00W, RAM: 3.09W, GPU: 19.77W)
Round 12, node_3_training_complete: 121.13W (CPU: 2.01W, RAM: 3.15W, GPU: 115.97W)
Round 12, node_3_smpc_start: 119.12W (CPU: 0.00W, RAM: 3.15W, GPU: 115.97W)
Round 12, node_3_smpc_complete: 23.37W (CPU: 0.09W, RAM: 3.13W, GPU: 20.15W)
Round 12, aggregation_start: 23.24W (CPU: 0.00W, RAM: 3.13W, GPU: 20.11W)
Round 12, aggregation_complete: 26.96W (CPU: 1.50W, RAM: 3.13W, GPU: 22.33W)
Round 13, cluster_generation_start: 24.55W (CPU: 0.03W, RAM: 3.12W, GPU: 21.39W)
Round 13, cluster_generation_complete: 24.52W (CPU: 0.00W, RAM: 3.12W, GPU: 21.39W)
Round 13, node_1_training_start: 24.52W (CPU: 0.00W, RAM: 3.12W, GPU: 21.39W)
Round 13, node_1_training_complete: 119.18W (CPU: 1.83W, RAM: 3.15W, GPU: 114.20W)
Round 13, node_1_smpc_start: 117.35W (CPU: 0.00W, RAM: 3.15W, GPU: 114.20W)
Round 13, node_1_smpc_complete: 23.72W (CPU: 0.09W, RAM: 3.12W, GPU: 20.51W)
Round 13, node_2_training_start: 22.96W (CPU: 0.00W, RAM: 3.12W, GPU: 19.84W)
Round 13, node_2_training_complete: 115.73W (CPU: 1.92W, RAM: 3.12W, GPU: 110.69W)
Round 13, node_2_smpc_start: 128.81W (CPU: 15.00W, RAM: 3.12W, GPU: 110.69W)
Round 13, node_2_smpc_complete: 23.48W (CPU: 0.09W, RAM: 3.12W, GPU: 20.27W)
Round 13, node_3_training_start: 23.23W (CPU: 0.00W, RAM: 3.12W, GPU: 20.11W)
Round 13, node_3_training_complete: 113.21W (CPU: 1.98W, RAM: 3.16W, GPU: 108.06W)
Round 13, node_3_smpc_start: 111.23W (CPU: 0.00W, RAM: 3.16W, GPU: 108.06W)
Round 13, node_3_smpc_complete: 22.59W (CPU: 0.09W, RAM: 3.14W, GPU: 19.36W)
Round 13, aggregation_start: 22.50W (CPU: 0.00W, RAM: 3.14W, GPU: 19.36W)
Round 13, aggregation_complete: 27.07W (CPU: 1.50W, RAM: 3.14W, GPU: 22.43W)
Round 14, cluster_generation_start: 22.64W (CPU: 0.03W, RAM: 3.14W, GPU: 19.47W)
Round 14, cluster_generation_complete: 22.60W (CPU: 0.00W, RAM: 3.13W, GPU: 19.47W)
Round 14, node_1_training_start: 22.60W (CPU: 0.00W, RAM: 3.13W, GPU: 19.47W)
Round 14, node_1_training_complete: 113.50W (CPU: 1.89W, RAM: 3.16W, GPU: 108.45W)
Round 14, node_1_smpc_start: 111.61W (CPU: 0.00W, RAM: 3.16W, GPU: 108.45W)
Round 14, node_1_smpc_complete: 23.06W (CPU: 0.09W, RAM: 3.13W, GPU: 19.84W)
Round 14, node_2_training_start: 22.85W (CPU: 0.00W, RAM: 3.13W, GPU: 19.72W)
Round 14, node_2_training_complete: 120.53W (CPU: 2.01W, RAM: 3.14W, GPU: 115.38W)
Round 14, node_2_smpc_start: 118.52W (CPU: 0.00W, RAM: 3.14W, GPU: 115.38W)
Round 14, node_2_smpc_complete: 22.50W (CPU: 0.09W, RAM: 3.12W, GPU: 19.29W)
Round 14, node_3_training_start: 22.94W (CPU: 0.00W, RAM: 3.12W, GPU: 19.83W)
Round 14, node_3_training_complete: 115.95W (CPU: 1.80W, RAM: 3.15W, GPU: 111.00W)
Round 14, node_3_smpc_start: 114.15W (CPU: 0.00W, RAM: 3.15W, GPU: 111.00W)
Round 14, node_3_smpc_complete: 23.75W (CPU: 0.09W, RAM: 3.15W, GPU: 20.50W)
Round 14, aggregation_start: 23.51W (CPU: 0.00W, RAM: 3.15W, GPU: 20.35W)
Round 14, aggregation_complete: 29.56W (CPU: 1.53W, RAM: 3.15W, GPU: 24.87W)
Round 15, cluster_generation_start: 25.34W (CPU: 0.03W, RAM: 3.15W, GPU: 22.16W)
Round 15, cluster_generation_complete: 25.31W (CPU: 0.00W, RAM: 3.15W, GPU: 22.16W)
Round 15, node_1_training_start: 25.31W (CPU: 0.00W, RAM: 3.15W, GPU: 22.16W)
Round 15, node_1_training_complete: 116.50W (CPU: 1.86W, RAM: 3.15W, GPU: 111.49W)
Round 15, node_1_smpc_start: 114.64W (CPU: 0.00W, RAM: 3.15W, GPU: 111.49W)
Round 15, node_1_smpc_complete: 23.44W (CPU: 0.09W, RAM: 3.16W, GPU: 20.19W)
Round 15, node_2_training_start: 23.48W (CPU: 0.00W, RAM: 3.16W, GPU: 20.32W)
Round 15, node_2_training_complete: 121.16W (CPU: 1.83W, RAM: 3.18W, GPU: 116.15W)
Round 15, node_2_smpc_start: 119.33W (CPU: 0.00W, RAM: 3.18W, GPU: 116.15W)
Round 15, node_2_smpc_complete: 23.16W (CPU: 0.09W, RAM: 3.16W, GPU: 19.91W)
Round 15, node_3_training_start: 22.71W (CPU: 0.00W, RAM: 3.16W, GPU: 19.55W)
Round 15, node_3_training_complete: 112.53W (CPU: 1.83W, RAM: 3.18W, GPU: 107.52W)
Round 15, node_3_smpc_start: 110.70W (CPU: 0.00W, RAM: 3.18W, GPU: 107.52W)
Round 15, node_3_smpc_complete: 23.59W (CPU: 0.09W, RAM: 3.17W, GPU: 20.33W)
Round 15, aggregation_start: 22.82W (CPU: 0.00W, RAM: 3.17W, GPU: 19.66W)
Round 15, aggregation_complete: 26.34W (CPU: 1.50W, RAM: 3.16W, GPU: 21.68W)
Round 16, cluster_generation_start: 22.63W (CPU: 0.03W, RAM: 3.17W, GPU: 19.43W)
Round 16, cluster_generation_complete: 22.60W (CPU: 0.00W, RAM: 3.17W, GPU: 19.43W)
Round 16, node_1_training_start: 22.60W (CPU: 0.00W, RAM: 3.17W, GPU: 19.43W)
Round 16, node_1_training_complete: 119.12W (CPU: 1.95W, RAM: 3.22W, GPU: 113.95W)
Round 16, node_1_smpc_start: 117.17W (CPU: 0.00W, RAM: 3.22W, GPU: 113.95W)
Round 16, node_1_smpc_complete: 23.33W (CPU: 0.09W, RAM: 3.17W, GPU: 20.07W)
Round 16, node_2_training_start: 23.03W (CPU: 0.00W, RAM: 3.17W, GPU: 19.86W)
Round 16, node_2_training_complete: 114.50W (CPU: 1.89W, RAM: 3.19W, GPU: 109.43W)
Round 16, node_2_smpc_start: 112.61W (CPU: 0.00W, RAM: 3.19W, GPU: 109.43W)
Round 16, node_2_smpc_complete: 23.08W (CPU: 0.09W, RAM: 3.15W, GPU: 19.84W)
Round 16, node_3_training_start: 22.81W (CPU: 0.00W, RAM: 3.15W, GPU: 19.66W)
Round 16, node_3_training_complete: 118.47W (CPU: 1.89W, RAM: 3.17W, GPU: 113.40W)
Round 16, node_3_smpc_start: 116.58W (CPU: 0.00W, RAM: 3.17W, GPU: 113.40W)
Round 16, node_3_smpc_complete: 24.10W (CPU: 0.09W, RAM: 3.16W, GPU: 20.86W)
Round 16, aggregation_start: 23.40W (CPU: 0.00W, RAM: 3.16W, GPU: 20.25W)
