=== Energy Consumption Metrics ===

Total Duration: 33156.15 seconds
Average CPU Power: 1.01 Watts
Average RAM Power: 2.72 Watts
Average GPU Power: 51.85 Watts
Total Energy Consumption: 1.8428 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.34W (CPU: 4.11W, RAM: 0.39W, GPU: 19.84W)
Round 14, node_2_smpc_complete: 23.18W (CPU: 0.09W, RAM: 2.52W, GPU: 20.57W)
Round 14, node_3_training_start: 23.54W (CPU: 0.00W, RAM: 2.52W, GPU: 21.02W)
Round 14, node_3_training_complete: 78.51W (CPU: 1.89W, RAM: 2.54W, GPU: 74.08W)
Round 14, node_3_smpc_start: 76.62W (CPU: 0.00W, RAM: 2.54W, GPU: 74.08W)
Round 14, node_3_smpc_complete: 23.82W (CPU: 0.09W, RAM: 2.55W, GPU: 21.18W)
Round 14, aggregation_start: 23.53W (CPU: 0.00W, RAM: 2.55W, GPU: 20.97W)
Round 14, aggregation_complete: 25.87W (CPU: 2.01W, RAM: 2.55W, GPU: 21.31W)
Round 15, cluster_generation_start: 23.91W (CPU: 0.03W, RAM: 2.55W, GPU: 21.33W)
Round 15, cluster_generation_complete: 23.88W (CPU: 0.00W, RAM: 2.55W, GPU: 21.33W)
Round 15, node_1_training_start: 23.88W (CPU: 0.00W, RAM: 2.55W, GPU: 21.33W)
Round 15, node_1_training_complete: 76.68W (CPU: 1.98W, RAM: 2.57W, GPU: 72.13W)
Round 15, node_1_smpc_start: 74.70W (CPU: 0.00W, RAM: 2.57W, GPU: 72.13W)
Round 15, node_1_smpc_complete: 22.99W (CPU: 0.09W, RAM: 2.57W, GPU: 20.33W)
Round 15, node_2_training_start: 23.30W (CPU: 0.00W, RAM: 2.57W, GPU: 20.74W)
Round 15, node_2_training_complete: 76.66W (CPU: 1.89W, RAM: 2.58W, GPU: 72.19W)
Round 15, node_2_smpc_start: 74.77W (CPU: 0.00W, RAM: 2.58W, GPU: 72.19W)
Round 15, node_2_smpc_complete: 23.70W (CPU: 0.09W, RAM: 2.58W, GPU: 21.04W)
Round 15, node_3_training_start: 23.61W (CPU: 0.00W, RAM: 2.58W, GPU: 21.03W)
Round 15, node_3_training_complete: 78.27W (CPU: 1.89W, RAM: 2.58W, GPU: 73.80W)
Round 15, node_3_smpc_start: 76.38W (CPU: 0.00W, RAM: 2.58W, GPU: 73.80W)
Round 15, node_3_smpc_complete: 23.66W (CPU: 0.09W, RAM: 2.58W, GPU: 20.99W)
Round 15, aggregation_start: 23.64W (CPU: 0.00W, RAM: 2.58W, GPU: 21.07W)
Round 15, aggregation_complete: 26.08W (CPU: 1.86W, RAM: 2.58W, GPU: 21.64W)
Round 16, cluster_generation_start: 23.61W (CPU: 0.03W, RAM: 2.57W, GPU: 21.01W)
Round 16, cluster_generation_complete: 23.58W (CPU: 0.00W, RAM: 2.57W, GPU: 21.01W)
