=== Energy Consumption Metrics ===

Total Duration: 33206.54 seconds
Average CPU Power: 0.70 Watts
Average RAM Power: 4.16 Watts
Average GPU Power: 40.51 Watts
Total Energy Consumption: 1.5066 Mega Joules

=== Detailed Measurements ===
Round global, start: 23.35W (CPU: 4.11W, RAM: 1.97W, GPU: 17.27W)
Round 15, node_1_training_start: 26.74W (CPU: 0.00W, RAM: 4.16W, GPU: 22.58W)
Round 15, node_1_training_complete: 80.48W (CPU: 2.01W, RAM: 4.19W, GPU: 74.27W)
Round 15, node_1_smpc_start: 78.47W (CPU: 0.00W, RAM: 4.19W, GPU: 74.27W)
Round 15, node_1_smpc_complete: 24.16W (CPU: 0.09W, RAM: 4.18W, GPU: 19.89W)
Round 15, node_2_training_start: 23.82W (CPU: 0.00W, RAM: 4.18W, GPU: 19.64W)
Round 15, node_2_training_complete: 77.12W (CPU: 1.89W, RAM: 4.19W, GPU: 71.05W)
Round 15, node_2_smpc_start: 75.23W (CPU: 0.00W, RAM: 4.19W, GPU: 71.05W)
Round 15, node_2_smpc_complete: 23.69W (CPU: 0.09W, RAM: 4.19W, GPU: 19.41W)
Round 15, node_3_training_start: 24.17W (CPU: 0.03W, RAM: 4.19W, GPU: 19.95W)
Round 15, node_3_training_complete: 77.63W (CPU: 1.89W, RAM: 4.18W, GPU: 71.56W)
Round 15, node_3_smpc_start: 75.74W (CPU: 0.00W, RAM: 4.18W, GPU: 71.56W)
Round 15, node_3_smpc_complete: 24.01W (CPU: 0.09W, RAM: 4.19W, GPU: 19.73W)
Round 15, aggregation_start: 23.55W (CPU: 0.00W, RAM: 4.19W, GPU: 19.36W)
Round 15, aggregation_complete: 27.30W (CPU: 1.95W, RAM: 4.19W, GPU: 21.15W)
Round 16, cluster_generation_start: 26.14W (CPU: 0.03W, RAM: 4.18W, GPU: 21.93W)
Round 16, cluster_generation_complete: 26.11W (CPU: 0.00W, RAM: 4.18W, GPU: 21.93W)
Round 16, node_1_training_start: 26.11W (CPU: 0.00W, RAM: 4.18W, GPU: 21.93W)
Round 16, node_1_training_complete: 79.78W (CPU: 2.01W, RAM: 4.20W, GPU: 73.58W)
Round 16, node_1_smpc_start: 77.77W (CPU: 0.00W, RAM: 4.19W, GPU: 73.58W)
Round 16, node_1_smpc_complete: 24.12W (CPU: 0.09W, RAM: 4.17W, GPU: 19.86W)
Round 16, node_2_training_start: 23.81W (CPU: 0.00W, RAM: 4.17W, GPU: 19.63W)
Round 16, node_2_training_complete: 78.60W (CPU: 1.89W, RAM: 4.18W, GPU: 72.54W)
Round 16, node_2_smpc_start: 76.71W (CPU: 0.00W, RAM: 4.18W, GPU: 72.54W)
Round 16, node_2_smpc_complete: 23.49W (CPU: 0.09W, RAM: 4.18W, GPU: 19.22W)
Round 16, node_3_training_start: 23.85W (CPU: 0.00W, RAM: 4.18W, GPU: 19.67W)
Round 16, node_3_training_complete: 76.82W (CPU: 1.89W, RAM: 4.18W, GPU: 70.75W)
Round 16, node_3_smpc_start: 74.93W (CPU: 0.00W, RAM: 4.18W, GPU: 70.75W)
Round 16, node_3_smpc_complete: 23.84W (CPU: 0.09W, RAM: 4.18W, GPU: 19.57W)
Round 16, aggregation_start: 24.14W (CPU: 0.00W, RAM: 4.18W, GPU: 19.96W)
