=== Energy Consumption Metrics ===

Total Duration: 16536.28 seconds
Average CPU Power: 0.63 Watts
Average RAM Power: 1.68 Watts
Average GPU Power: 54.82 Watts
Total Energy Consumption: 0.9446 Mega Joules

=== Detailed Measurements ===
Round global, start: 22.42W (CPU: 4.05W, RAM: 0.42W, GPU: 17.94W)
Round 14, aggregation_complete: 25.74W (CPU: 1.50W, RAM: 1.65W, GPU: 22.58W)
Round 15, cluster_generation_start: 23.92W (CPU: 0.03W, RAM: 1.65W, GPU: 22.23W)
Round 15, cluster_generation_complete: 23.89W (CPU: 0.00W, RAM: 1.65W, GPU: 22.23W)
Round 15, node_1_training_start: 23.89W (CPU: 0.00W, RAM: 1.65W, GPU: 22.23W)
Round 15, node_1_training_complete: 114.49W (CPU: 1.80W, RAM: 1.66W, GPU: 111.03W)
Round 15, node_1_smpc_start: 112.69W (CPU: 0.00W, RAM: 1.66W, GPU: 111.03W)
Round 15, node_1_smpc_complete: 21.97W (CPU: 0.09W, RAM: 1.66W, GPU: 20.23W)
Round 15, node_2_training_start: 21.78W (CPU: 0.00W, RAM: 1.66W, GPU: 20.12W)
Round 15, node_2_training_complete: 111.28W (CPU: 1.83W, RAM: 1.69W, GPU: 107.76W)
Round 15, node_2_smpc_start: 109.45W (CPU: 0.00W, RAM: 1.69W, GPU: 107.76W)
Round 15, node_2_smpc_complete: 21.35W (CPU: 0.09W, RAM: 1.63W, GPU: 19.63W)
Round 15, node_3_training_start: 21.34W (CPU: 0.00W, RAM: 1.63W, GPU: 19.71W)
Round 15, node_3_training_complete: 123.38W (CPU: 1.92W, RAM: 1.68W, GPU: 119.78W)
Round 15, node_3_smpc_start: 121.46W (CPU: 0.00W, RAM: 1.68W, GPU: 119.78W)
Round 15, node_3_smpc_complete: 21.86W (CPU: 0.09W, RAM: 1.65W, GPU: 20.12W)
Round 15, aggregation_start: 21.41W (CPU: 0.00W, RAM: 1.65W, GPU: 19.76W)
Round 15, aggregation_complete: 25.33W (CPU: 1.47W, RAM: 1.65W, GPU: 22.21W)
Round 16, cluster_generation_start: 21.48W (CPU: 0.03W, RAM: 1.64W, GPU: 19.81W)
Round 16, cluster_generation_complete: 21.45W (CPU: 0.00W, RAM: 1.64W, GPU: 19.81W)
Round 16, node_1_training_start: 21.45W (CPU: 0.00W, RAM: 1.64W, GPU: 19.81W)
Round 16, node_1_training_complete: 117.32W (CPU: 1.95W, RAM: 1.70W, GPU: 113.67W)
Round 16, node_1_smpc_start: 115.37W (CPU: 0.00W, RAM: 1.70W, GPU: 113.67W)
Round 16, node_1_smpc_complete: 22.24W (CPU: 0.09W, RAM: 1.66W, GPU: 20.49W)
Round 16, node_2_training_start: 22.01W (CPU: 0.00W, RAM: 1.66W, GPU: 20.35W)
Round 16, node_2_training_complete: 107.99W (CPU: 1.77W, RAM: 1.70W, GPU: 104.52W)
Round 16, node_2_smpc_start: 106.22W (CPU: 0.00W, RAM: 1.70W, GPU: 104.52W)
Round 16, node_2_smpc_complete: 22.38W (CPU: 0.09W, RAM: 1.68W, GPU: 20.61W)
Round 16, node_3_training_start: 21.88W (CPU: 0.00W, RAM: 1.68W, GPU: 20.19W)
Round 16, node_3_training_complete: 122.27W (CPU: 1.92W, RAM: 1.71W, GPU: 118.64W)
Round 16, node_3_smpc_start: 120.35W (CPU: 0.00W, RAM: 1.71W, GPU: 118.64W)
Round 16, node_3_smpc_complete: 22.17W (CPU: 0.09W, RAM: 1.69W, GPU: 20.39W)
Round 16, aggregation_start: 22.06W (CPU: 0.00W, RAM: 1.69W, GPU: 20.37W)
